Feature,Importance
Hari,0.523528755852897
Hari_Dari_Awal_Bulan,0.3557057591318661
Is_Weekend,0.03700162537329127
Hari_Minggu,0.036318798173650454
Persentase_Terlambat,0.02840190758910975
Is_Akhir_Bulan,0.01899044494461529
Prop_Transfer,2.8302949933803186e-05
Aktivitas_Bulan_Ini,7.999699313379188e-06
Rata_Nominal,2.7427210004748623e-06
Prop_TopUp,2.133105900274526e-06
Prop_QRIS,2.0881479606601884e-06
Rata_Interval_Hari,1.9043169049257886e-06
Aktivitas_Quarter_Ini,1.7667963457519789e-06
Jumlah_Terlambat,1.6299104418895956e-06
Frekuensi_Per_Hari,1.5734464253654558e-06
Total_Transaksi,1.4528292070248888e-06
Durasi_Aktif_Hari,7.510909535629249e-07
Nominal_Transaksi,2.825934459469943e-07
Is_Transfer,3.094445985510617e-08
Is_TopUp,2.3305535422194898e-08
Is_QRIS,1.9237881261502836e-08
Bulan,4.590974684976372e-09
Is_Awal_Bulan,3.2478859476101834e-09
Quarter,0.0
